country_group_code,country_code
APAC,AU
APAC,BD
APAC,BN
APAC,BT
APAC,CN
APAC,FJ
APAC,FM
APAC,HK
APAC,ID
APAC,IN
APAC,JP
APAC,KH
APAC,KI
APAC,KR
APAC,LA
APAC,LK
APAC,MH
APAC,MM
APAC,MN
APAC,MO
APAC,MP
APAC,MV
APAC,MY
APAC,NP
APAC,NR
APAC,NZ
APAC,PG
APAC,PH
APAC,PK
APAC,PW
APAC,SB
APAC,SG
APAC,TH
APAC,TL
APAC,TO
APAC,TV
APAC,TW
APAC,VN
APAC,VU
APAC,WS
EEA,AT
EEA,BE
EEA,BG
EEA,CY
EEA,CZ
EEA,DE
EEA,DK
EEA,EE
EEA,ES
EEA,FI
EEA,FR
EEA,GR
EEA,HR
EEA,HU
EEA,IE
EEA,IS
EEA,IT
EEA,LI
EEA,LT
EEA,LU
EEA,LV
EEA,MT
EEA,NL
EEA,NO
EEA,PL
EEA,PT
EEA,RO
EEA,SE
EEA,SI
EEA,SK
EU,AT
EU,BE
EU,BG
EU,CY
EU,CZ
EU,DE
EU,DK
EU,EE
EU,ES
EU,FI
EU,FR
EU,GR
EU,HR
EU,HU
EU,IE
EU,IT
EU,LT
EU,LU
EU,LV
EU,MT
EU,NL
EU,PL
EU,PT
EU,RO
EU,SE
EU,SI
EU,SK
LATAM,AR
LATAM,BO
LATAM,BR
LATAM,BZ
LATAM,CL
LATAM,CO
LATAM,CR
LATAM,CU
LATAM,DO
LATAM,EC
LATAM,GT
LATAM,HN
LATAM,MX
LATAM,NI
LATAM,PA
LATAM,PE
LATAM,PR
LATAM,PY
LATAM,SV
LATAM,UY
LATAM,VE
